Unnamed: 0,full_name,description,topics,clone_url,created_at,updated_at,pushed_at,language,stars_count,forks_count,size,has_requirements_files,last_commit_hash
7043,ekinakyurek/deprem_openai_apis,Extract addresses and intents from tweet texts,[],https://github.com/ekinakyurek/deprem_openai_apis.git,2023-02-07 6:00,2023-02-20 11:48,2023-02-17 22:40,Python,37,6,109,True,53aeaa4984b8616cbf7faef2d7c946de451c9e6e
2882,SeanNaren/deepspeech.pytorch,Speech Recognition using DeepSpeech2.,[],https://github.com/SeanNaren/deepspeech.pytorch.git,2017-01-10 7:28,2023-02-22 7:58,2022-12-13 15:05,Python,1996,621,742,True,b88a631ef6b96553e16bbaa5bd6a621435bed278
4809,StanfordASL/CoCo,,[],https://github.com/StanfordASL/CoCo.git,2020-03-29 21:30,2023-02-04 12:06,2023-02-10 23:09,Jupyter Notebook,29,13,66310,True,2f1f0a32a91c3417871308bab6918d1876d66392
802,aristoteleo/spateo-release,Spatiotemporal modeling of spatial transcriptomics ,"['3d-reconstruction', 'cell-segmentation', 'spatial-transcriptomics', 'spatiotemporal']",https://github.com/aristoteleo/spateo-release.git,2021-02-22 0:22,2023-02-22 3:42,2023-02-22 0:24,Python,80,11,11849,True,6f3f4cff7d25ca4c5a3bd7a45c127e639b8214f8
2861,open-mmlab/mmskeleton,"A OpenMMLAB toolbox  for human pose estimation, skeleton-based action recognition, and action synthesis.","['action-recognition', 'deep-learning', 'graph-convolutional-network', 'pytorch', 'skeleton-based-action-recognition']",https://github.com/open-mmlab/mmskeleton.git,2017-11-21 9:01,2023-02-23 13:20,2022-11-25 20:02,Python,2654,985,95585,True,b4c076baa9e02e69b5876c49fa7c509866d902c7
3523,memgraph/mage,MAGE - Memgraph Advanced Graph Extensions :crystal_ball:,"['cypher', 'graph-algorithms', 'graph-database', 'memgraph', 'open-source', 'real-time-analytics', 'stream-processing']",https://github.com/memgraph/mage.git,2021-01-07 9:51,2023-02-20 15:18,2023-02-17 8:19,Cypher,144,13,22081,True,f21446d191c28d9f0f09837b6b6ce4aa9d9e7fb4
4315,manthan89-py/Plant-Disease-Detection,Bases on Leaf images we are trying to predict plant disease using convolutional neural network. PyTorch implementation,"['cnn-model', 'convolutional-neural-networks', 'deep-learning', 'disease', 'leaf-images', 'plant-disease-detection', 'pytorch']",https://github.com/manthan89-py/Plant-Disease-Detection.git,2021-03-17 17:07,2023-02-23 11:27,2023-01-14 4:03,Jupyter Notebook,49,61,18457,True,472ddb5094594a0f8dbbf529123025571993d5a9
4222,facebookresearch/param,PArametrized Recommendation and Ai Model benchmark is a repository for development of numerous uBenchmarks as well as end to end nets for evaluation of training and inference platforms.,[],https://github.com/facebookresearch/param.git,2020-07-30 20:51,2023-02-15 1:35,2023-02-13 22:53,Python,53,28,745,True,18611f02a7d040049e14a5d36385c59bb3dacfb0
4695,mahdeslami11/pyannote-audio,,[],https://github.com/mahdeslami11/pyannote-audio.git,2022-12-31 7:04,2023-02-02 11:01,2023-01-12 21:23,Python,32,0,256268,True,a673857c73b789caf1a9ddc1590684013c64551d
7708,wolfmanstout/screen-ocr,"Easily perform OCR on portions of the screen, choosing from a selection of backends.",[],https://github.com/wolfmanstout/screen-ocr.git,2019-12-29 18:40,2022-11-01 2:47,2023-01-06 6:14,Python,13,6,195,True,ef2dcd10ff3df2d8742c7e1c3f839211de2f5fbb
7252,refinery-platform/heatmap-scatter-dash,Interactive visualizations for differential expression,"['differential-expression', 'docker', 'refinery', 'visualization']",https://github.com/refinery-platform/heatmap-scatter-dash.git,2017-11-15 20:16,2019-11-01 14:38,2022-12-08 2:17,Python,25,1,623,True,f5b3e466e036677d6d5414d3d369300fdfcd3fff
1089,Tesseract-MI/prostatecancer.ai,"prostatecancer.ai is an AI-based, zero-footprint medical image viewer that can identify clinically significant prostate cancer.","['artificial-intelligence', 'cornerstone', 'ohif', 'prostate-cancer']",https://github.com/Tesseract-MI/prostatecancer.ai.git,2018-08-08 14:40,2022-12-08 16:08,2022-11-21 21:27,JavaScript,48,35,18521,True,3e5d699f3972d1ceb5fa7b5010705643eae547ea
2783,luca-ant/WhatsSee,"A simple and humble image captioning application, based on a neural network built with Keras","['keras', 'python3', 'tensorflow']",https://github.com/luca-ant/WhatsSee.git,2019-08-14 11:49,2021-04-04 18:38,2022-09-23 22:28,Python,10,2,355678,True,947bebf4a05e222f746590bac69761546bee3047
1274,sapols/Satellite-Telemetry-Anomaly-Detection,Unsupervised machine learning techniques for detecting anomalies in LASP spacecraft telemetry,[],https://github.com/sapols/Satellite-Telemetry-Anomaly-Detection.git,2019-02-28 22:46,2023-01-12 21:49,2022-10-14 7:26,Jupyter Notebook,36,20,571685,True,83293fca2c25a9a3c8bea64bcaf97700d20f0c88
5587,algorithmiaio/langpacks,Standardized builder and runners for Algorithmia algorithms,"['algorithmia', 'algorithms', 'machine-learning']",https://github.com/algorithmiaio/langpacks.git,2016-02-10 7:18,2021-11-13 18:16,2022-11-22 8:16,Python,16,9,60027,True,a05460a5a0d61d922fb6b59fadfd8ddfd990bdf9
2034,joapolarbear/dpro,Analysis for the traces from byteprofile,[],https://github.com/joapolarbear/dpro.git,2019-11-11 16:51,2023-01-10 12:35,2022-09-07 13:27,Python,17,2,1659,True,94538388590a51a8db5818cff3f93febb387c618
7767,pangyuteng/aigonewrong,,[],https://github.com/pangyuteng/aigonewrong.git,2020-10-24 20:42,2022-12-30 22:59,2023-02-21 21:16,Jupyter Notebook,12,4,66468,True,483ec0e36a5f93bafaa303e2939278ffe269db02
2329,JdeRobot/ObjectDetector,,[],https://github.com/JdeRobot/ObjectDetector.git,2018-01-23 16:40,2021-11-11 7:45,2022-11-22 6:00,Python,14,14,273251,True,d6eaa075d78686a80965678cefb5e79a3b535146
2799,zhengying-liu/autodl-contrib,"Join us and be credited for AutoDL challenge - the next big thing in automated machine learning. Organized by Google, ChaLearn and 4Paradigm.",[],https://github.com/zhengying-liu/autodl-contrib.git,2018-06-21 17:48,2022-11-14 6:55,2022-11-21 21:29,Jupyter Notebook,10,8,14056,True,0c9c0d8362207533fe1e3a86bdbc53cd983f24d5
1742,v-sivak/quantum-control-rl,Model-Free Quantum Control with Reinforcement Learning.,[],https://github.com/v-sivak/quantum-control-rl.git,2020-04-15 2:59,2023-02-17 3:03,2022-11-21 23:04,Jupyter Notebook,22,6,5186,True,ec9a5b070215655251c7acbddba9d7e7dc5cbc95
3416,Kitware/kwiver,Pulls Together Computer Vision Algorithms into Highly-Modular Run-Time Configurable Systems,[],https://github.com/Kitware/kwiver.git,2014-08-22 15:22,2023-02-16 19:22,2023-02-22 18:27,C++,180,78,63551,True,f0b40a92a170ca34789e61f0208c4481914fac18
3642,wimlds-trojmiasto/detect-waste," AI to Combat Environmental Pollution - detecting plastic waste in the environment to combat environmental pollution and promote circular economy (Deep Learning, PyTorch)","['cnn', 'deep-learning', 'detr', 'efficientdet', 'fastrcnn', 'litter', 'maskrcnn', 'neural-networks', 'object-detection', 'python', 'pytorch', 'trash', 'waste-detection']",https://github.com/wimlds-trojmiasto/detect-waste.git,2020-11-19 11:04,2023-02-11 15:00,2022-11-22 10:13,Python,115,36,87245,True,0a4367b121e4bfabdfb148b323090573ac2dadc2
4540,MaximIntegratedAI/ai8x-synthesis,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 AI Devices,"['ai', 'analog-devices', 'artificial-intelligence', 'deep-learning', 'machine-learning', 'max78000', 'max78002', 'maxim', 'maxim-integrated']",https://github.com/MaximIntegratedAI/ai8x-synthesis.git,2020-05-19 21:57,2023-02-04 15:47,2023-02-15 23:01,Python,38,34,507536,True,c53d34f0731d7f06a5596f36c616966dd5def0e3
2493,harshareddy794/HACKTOBERFEST2020,Repository for hacktoberfest 2020,"['digitalocean', 'hacktoberfest', 'open-source']",https://github.com/harshareddy794/HACKTOBERFEST2020.git,2020-10-01 8:06,2022-02-12 20:54,2022-12-08 10:20,Jupyter Notebook,12,108,20514,True,01ebafdf6de908786dbd5f6b79485c2c9445cc5b
2559,fusion-ml/trajectory-information-rl,Bayesian active RL (BARL) and trajectory information planning (TIP),[],https://github.com/fusion-ml/trajectory-information-rl.git,2021-06-07 8:44,2022-11-26 4:55,2022-10-11 13:47,Jupyter Notebook,11,1,17037,True,102671364199a6824c8d19c8f067796cf6d41ff0
7999,tianxing1994/OpenCV,pip install opencv-contrib-python,[],https://github.com/tianxing1994/OpenCV.git,2019-05-02 14:17,2022-12-03 10:14,2022-12-08 6:06,Python,10,3,640778,True,69c97b5e1e9694a4a1d418f7fcbfd4e2cf92c943
7376,QData/FastSK,Bioinformatics 2020: FastSK: Fast and Accurate Sequence Classification by making gkm-svm faster and scalable. https://fastsk.readthedocs.io/en/master/,"['cpp', 'gkm-svm', 'python-library', 'sequence-classification', 'string-classification', 'string-kernel']",https://github.com/QData/FastSK.git,2018-04-20 20:50,2022-12-16 9:57,2022-12-08 9:37,Python,20,8,119145,True,d275a232cea129299021051cd6ac94d2296e83c8
1893,ryry013/Rai,Discord bot for Discord language learning servers written in Python,"['discord', 'discord-bot', 'discord-py']",https://github.com/ryry013/Rai.git,2018-06-12 5:42,2022-12-22 23:18,2023-02-21 3:49,Python,19,15,1825,True,f86b922cf26ad837a46799dfb826232f58f37d84
3451,pulp-platform/snitch,Lean but mean RISC-V system!,[],https://github.com/pulp-platform/snitch.git,2020-08-21 9:57,2023-02-22 22:57,2023-02-23 17:38,SystemVerilog,167,30,12816,True,66c66a320b0d95a8cd36ef2019a49905d98b41b0
3441,iPieter/RobBERT,A Dutch RoBERTa-based language model,"['bert', 'bert-model', 'language-model', 'nlp', 'nlp-resources', 'roberta', 'transformers']",https://github.com/iPieter/RobBERT.git,2019-12-19 13:26,2023-02-08 11:01,2023-02-16 6:40,Jupyter Notebook,170,25,1525,True,e44a4107d0fdaed45b30ec5c9da63eba6b03f2f6
1944,mr-chen-king/auto_control_app,python control app 群控手机python脚本,[],https://github.com/mr-chen-king/auto_control_app.git,2019-06-25 8:28,2022-11-03 13:58,2022-11-22 2:10,Python,19,12,27023,True,23b3d342b339bb37a47caea93b5486ba675e2a58
1433,EngineerDDP/Parallel-SGD,一个用于联邦学习或分布式机器学习，对不同网络拓扑进行实验的简易框架。,[],https://github.com/EngineerDDP/Parallel-SGD.git,2019-10-10 1:46,2023-02-23 9:46,2022-11-21 23:25,Python,31,11,24105,True,7ba8768bff10b974ea4b14349036830d879ac069
